Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,^,0.01,0.02,0.02,0.01,0.01,0.01
Egypt,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.05,0.09,0.08,0.03,0.05,0.05
Morocco,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.09,0.08,0.10,0.10,0.11,0.14,0.14,0.14,0.15,0.16,0.16,0.14,0.15,0.11,0.12,0.12,0.13,0.13,0.17,0.19,0.18,0.19,0.22,0.28,0.28,0.31,0.28
South Africa,2.61,2.65,2.69,2.92,2.72,2.82,2.77,2.78,2.79,2.88,2.99,3.03,3.10,3.01,3.14,3.12,3.14,2.98,3.32,3.63,3.35,3.41,3.50,3.91,3.93,3.89,3.79,3.70,3.70,3.75,3.52,3.78,3.72,3.53,3.76,3.66,3.51,3.31
Eastern Africa,0.10,0.11,0.13,0.14,0.13,0.19,0.15,0.16,0.19,0.17,0.17,0.15,0.17,0.16,0.14,0.13,0.14,0.13,0.11,0.13,0.12,0.10,0.10,0.07,0.09,0.12,0.13,0.11,0.16,0.24,0.21,0.16,0.20,0.22,0.19,0.18,0.19,0.21
Middle Africa,0.01,0.01,0.01,0.01,0.01,0.01,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,^,0.01,0.01,0.01,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01
Western Africa,^,0.01,0.01,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Other Northern Africa,^,^,^,^,^,^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,-,-,-,-,-,^,^,^,^,^
Other Southern Africa,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.06,0.05,0.06,0.08
Australia,1.33,1.36,1.42,1.49,1.56,1.60,1.63,1.64,1.65,1.69,1.74,1.81,1.91,1.99,2.11,2.13,2.11,2.16,2.22,2.31,2.30,2.36,2.34,2.44,2.36,2.19,2.13,2.00,1.89,1.88,1.95,1.94,1.88,1.83,1.75,1.68,1.63,1.55
